category	gene_name	zf gene ID
oxygenases_phase_I	cyp2ae1	ENSDARG00000013524
oxygenases_phase_I	cyp2j20	ENSDARG00000094057
oxygenases_phase_I	cyp2k16	ENSDARG00000102981
oxygenases_phase_I	cyp2k17	ENSDARG00000104529
oxygenases_phase_I	cyp2k18	ENSDARG00000104593
oxygenases_phase_I	cyp2k19	ENSDARG00000101861
oxygenases_phase_I	cyp2k20	ENSDARG00000101632
oxygenases_phase_I	cyp2k21	ENSDARG00000105151
oxygenases_phase_I	cyp2k22	ENSDARG00000040433
oxygenases_phase_I	cyp2k6	ENSDARG00000009874
oxygenases_phase_I	cyp2k6	ENSDARG00000098995
oxygenases_phase_I	cyp2k8	ENSDARG00000101190
oxygenases_phase_I	cyp2n13	ENSDARG00000042953
oxygenases_phase_I	cyp2p10	ENSDARG00000042990
oxygenases_phase_I	cyp2p6	ENSDARG00000042978
oxygenases_phase_I	cyp2p7	ENSDARG00000042980
oxygenases_phase_I	cyp2p8	ENSDARG00000042982
oxygenases_phase_I	cyp2p9	ENSDARG00000022631
oxygenases_phase_I	cyp2r1	ENSDARG00000056587
oxygenases_phase_I	cyp2u1	ENSDARG00000026548
oxygenases_phase_I	cyp2v1	ENSDARG00000018485
oxygenases_phase_I	cyp2x10.2	ENSDARG00000006501
oxygenases_phase_I	cyp2x10.2	ENSDARG00000068283
oxygenases_phase_I	cyp2x10.2	ENSDARG00000111183
oxygenases_phase_I	cyp2x12	ENSDARG00000092091
oxygenases_phase_I	cyp2x6	ENSDARG00000079653
oxygenases_phase_I	cyp2x6	ENSDARG00000111425
oxygenases_phase_I	cyp2x7	ENSDARG00000044002
oxygenases_phase_I	cyp2x7	ENSDARG00000109785
oxygenases_phase_I	cyp2x8	ENSDARG00000043997
oxygenases_phase_I	cyp2x8	ENSDARG00000117195
oxygenases_phase_I	cyp2x9	ENSDARG00000070775
oxygenases_phase_I	cyp2x9	ENSDARG00000116932
oxygenases_phase_I	cyp2y3	ENSDARG00000068493
oxygenases_phase_I	cyp2y3	ENSDARG00000101423
oxygenases_phase_I	cyp3a65	ENSDARG00000103295
oxygenases_phase_I	cyp3c1	ENSDARG00000015575
oxygenases_phase_I	cyp3c3	ENSDARG00000037873
oxygenases_phase_I	cyp3c3	ENSDARG00000037874
oxygenases_phase_I	cyp3c4	ENSDARG00000070021
oxygenases_phase_I	cyp4f3	ENSDARG00000053530
oxygenases_phase_I	cyp4t8	ENSDARG00000004964
oxygenases_phase_I	cyp4t8	ENSDARG00000116412
oxygenases_phase_I	cyp4v7	ENSDARG00000061585
oxygenases_phase_I	cyp4v7	ENSDARG00000116669
oxygenases_phase_I	cyp4v8	ENSDARG00000062132
oxygenases_phase_I	cyp4v8	ENSDARG00000111608
oxygenases_phase_I	adh5	ENSDARG00000080010
oxygenases_phase_I	adh5	ENSDARG00000111574
oxygenases_phase_I	adh8a	ENSDARG00000091211
oxygenases_phase_I	adh8a	ENSDARG00000113750
oxygenases_phase_I	adh8b	ENSDARG00000024278
oxygenases_phase_I	adh8b	ENSDARG00000116820
oxygenases_phase_I	aldh16a1	ENSDARG00000037935
oxygenases_phase_I	aldh18a1	ENSDARG00000099579
oxygenases_phase_I	aldh1a2	ENSDARG00000053493
oxygenases_phase_I	aldh1a2	ENSDARG00000113122
oxygenases_phase_I	aldh1a3	ENSDARG00000076933
oxygenases_phase_I	aldh1l1	ENSDARG00000077004
oxygenases_phase_I	aldh1l1	ENSDARG00000114342
oxygenases_phase_I	aldh1l2	ENSDARG00000070230
oxygenases_phase_I	aldh2.1	ENSDARG00000089924
oxygenases_phase_I	aldh2.2	ENSDARG00000028087
oxygenases_phase_I	aldh3a1	ENSDARG00000074791
oxygenases_phase_I	aldh3a2a	ENSDARG00000028259
oxygenases_phase_I	aldh3a2b	ENSDARG00000029381
oxygenases_phase_I	aldh3b1	ENSDARG00000013839
oxygenases_phase_I	aldh3b2	ENSDARG00000035606
oxygenases_phase_I	aldh4a1	ENSDARG00000038207
oxygenases_phase_I	aldh5a1	ENSDARG00000076544
oxygenases_phase_I	aldh5a1	ENSDARG00000113300
oxygenases_phase_I	aldh6a1	ENSDARG00000053485
oxygenases_phase_I	aldh7a1	ENSDARG00000018426
oxygenases_phase_I	aldh8a1	ENSDARG00000036776
oxygenases_phase_I	aldh8a1	ENSDARG00000115119
oxygenases_phase_I	aldh9a1a.1	ENSDARG00000069100
oxygenases_phase_I	aldh9a1a.1	ENSDARG00000114905
oxygenases_phase_I	aldh9a1a.2	ENSDARG00000055331
oxygenases_phase_I	aldh9a1a.2	ENSDARG00000117162
oxygenases_phase_I	aldh9a1b	ENSDARG00000037061
oxygenases_phase_I	fmo5	ENSDARG00000016357
oxygenases_phase_I	fmo5	ENSDARG00000116737
oxygenases_phase_I	ptgs1	ENSDARG00000052148
oxygenases_phase_I	ptgs2a	ENSDARG00000004539
oxygenases_phase_I	ptgs2b	ENSDARG00000010276
reductases_phase_I	akr1a1a	ENSDARG00000035257
reductases_phase_I	akr1a1a	ENSDARG00000109404
reductases_phase_I	akr1a1b	ENSDARG00000052030
reductases_phase_I	akr1a1b	ENSDARG00000112549
reductases_phase_I	akr1b1	ENSDARG00000006215
reductases_phase_I	akr7a3	ENSDARG00000016649
reductases_phase_I	ephx1	ENSDARG00000042854
reductases_phase_I	ephx2	ENSDARG00000040255
reductases_phase_I	ephx4	ENSDARG00000099515
reductases_phase_I	ephx4	ENSDARG00000112686
reductases_phase_I	ephx4	ENSDARG00000115461
reductases_phase_I	ephx5	ENSDARG00000103298
reductases_phase_I	hsd11b1la	ENSDARG00000071377
reductases_phase_I	hsd11b1la	ENSDARG00000109751
reductases_phase_I	hsd11b1lb	ENSDARG00000110341
reductases_phase_I	hsd11b2	ENSDARG00000001975
reductases_phase_I	hsd17b10	ENSDARG00000017781
reductases_phase_I	hsd17b12a	ENSDARG00000015709
reductases_phase_I	hsd17b12b	ENSDARG00000035872
reductases_phase_I	hsd17b14	ENSDARG00000054842
reductases_phase_I	hsd17b1	ENSDARG00000027469
reductases_phase_I	hsd17b2	ENSDARG00000045553
reductases_phase_I	hsd17b3	ENSDARG00000023287
reductases_phase_I	hsd17b3	ENSDARG00000115935
reductases_phase_I	hsd17b3	ENSDARG00000116671
reductases_phase_I	hsd17b4	ENSDARG00000101239
reductases_phase_I	hsd17b7	ENSDARG00000088140
reductases_phase_I	hsd17b8	ENSDARG00000001169
reductases_phase_I	hsd20b2	ENSDARG00000031336
reductases_phase_I	hsd20b2	ENSDARG00000111087
reductases_phase_I	hsd3b1	ENSDARG00000069926
reductases_phase_I	hsd3b2	ENSDARG00000019747
