ID	3.3_con_rep1	3.3_con_rep2	3.3_con_rep3	3.3_bap_rep1	3.3_bap_rep2	3.3_bap_rep3
waca	423.3389595	344.0420408	398.7832142	355.7300293	386.0760742	367.8795409
med13a	423.0881165	482.0353944	433.0459921	474.1550495	421.0403674	510.6999769
hsp90b1	422.876217	391.7585788	385.5160801	372.7534376	263.200676	396.6886508
pygo2	422.3212696	353.5219924	376.4800587	357.1736796	353.9732525	398.6526212
tpm3	421.6626633	423.9016506	405.1608536	462.0580373	427.2482504	400.8231829
nup50	421.1781582	400.3252666	395.683927	381.1455666	277.3583902	318.5687266
RNF19A	421.1500958	391.4941412	392.0744737	375.0044628	486.5951438	400.184013
naa40	420.5544866	435.4142277	405.3652579	429.4130683	429.6996042	412.0273772
dgcr8	420.3128068	496.536389	440.3178298	517.5462211	385.2240393	509.7527243
srrt	419.7876398	438.4299068	407.2600801	454.9224187	470.9012416	402.4470446
ddx39aa	418.3690591	455.3953508	428.4972925	431.6218048	471.7055775	444.2903506
ppiaa	417.8129663	337.3574944	350.0629147	395.2296639	368.8038966	386.6946845
tnikb	417.7608505	361.2997292	345.8475687	394.8753134	392.4700767	396.3368141
mll4a	417.6274111	520.3390444	475.1718598	563.8062225	507.9521318	585.1405012
zfr	415.4574466	396.0397418	391.0761023	390.8437861	396.730251	426.9132267
pcna	414.8057127	382.9688911	367.1343337	322.6164816	339.4302053	363.5194723
rlf	413.6958179	403.2542538	440.9912941	499.5078829	492.6884557	427.0007348
wasf2	413.4358116	439.5541756	438.6944205	437.9437295	501.3303899	457.8523018
ncor1	411.0333303	340.6839559	353.9319558	386.2838925	431.5308713	419.7966531
si:ch211-51e12.7	410.9021817	394.8696735	400.3953616	399.6379013	462.1578301	480.7758154
dag1	409.8111861	406.0632899	382.3525998	378.4235323	462.0049128	324.1715004
huwe1	409.4028502	288.8460079	295.0195962	356.856271	368.9586845	314.3277413
srsf11	408.6486028	409.8690104	413.1855524	438.0433754	454.1995813	383.7058769
ilf2	407.1492712	450.3982981	462.9847462	507.7566191	511.8101381	464.1763408
cad	407.1275086	413.8573837	472.242628	542.3993667	355.3597966	393.2320808
BX539313.4	405.8647026	363.7156529	398.0703331	444.3944648	428.7839707	408.7354488
dnajc1	405.3315178	402.7281047	411.4106698	443.1326075	410.4586743	408.4007529
