ID	96_con_rep1	96_con_rep2	96_bap_rep1	96_bap_rep2
anp32e	296.1704591	308.3311034	316.0943811	326.6783969
id1	295.8566057	293.6602837	275.4203355	269.1897069
uba1	295.6012673	338.0296687	307.6463162	289.1650746
rnf10	294.2987377	305.1156991	281.8311515	289.1741209
capzb	292.0136114	325.2448427	336.2917744	331.0127068
eif3d	290.6556065	287.0814215	251.4040591	256.6481386
dlst	290.0415785	326.8758894	305.8710723	317.4596487
hmgb1a	289.9830635	248.8596388	258.7561761	314.8271746
tpm1	288.6159393	312.5226784	294.8579142	283.0650394
tuba8l	287.5733077	372.5795997	361.7957283	396.2602978
TAF15	286.9190032	308.8809289	283.233198	294.06704
gpia	286.4790004	283.4347573	297.3009514	294.8410643
eif3i	286.0519166	264.5281308	266.1670844	289.1339779
c3a	285.8421744	273.8874516	187.7016877	353.6793497
ENSDARG00000073699	284.7068306	314.1561825	275.3775201	262.6769341
gfap	284.4150154	243.7404252	231.3766495	242.5653064
ywhai	284.3603	247.451594	265.2423984	282.5985894
smarca4	283.5562882	298.1031198	239.6208617	214.7869369
cry2a	283.1884793	269.0127413	402.4378221	348.9413485
hmgb2b	283.1170454	264.2873134	256.8243682	299.7187178
pl10	282.1511672	341.2192712	299.5688926	254.7727269
